DATE,SPEND
2022-06-19,233683.047102
2022-06-20,243749.309326
2022-06-21,245085.846818
2022-06-22,233883.073259
2022-06-23,248931.425483
2022-06-24,258509.231693
2022-06-25,254421.747935
2022-06-26,285630.167171
2022-06-27,372804.368728
2022-06-28,373728.472812
2022-06-29,347327.671445
2022-06-30,362772.519556
2022-07-01,363584.632171
2022-07-02,353742.297934
2022-07-03,332923.46014
2022-07-04,637899.65824
2022-07-05,471607.657184
2022-07-06,472515.603005
2022-07-07,475887.309801
2022-07-08,433228.93505
2022-07-09,480760.929879
2022-07-10,408557.73995
2022-07-11,554681.789862
2022-07-12,422787.766423
2022-07-13,403941.180789
2022-07-14,393540.182525
2022-07-15,389562.731291
2022-07-16,345268.706109
2022-07-17,333521.520953
2022-07-18,392297.838221
2022-07-19,265440.197153
2022-07-20,272745.529031
2022-07-21,266594.100202
2022-07-22,270113.438512
2022-07-23,327769.883374
2022-07-24,319573.527019
2022-07-25,396677.693028
2022-07-26,264856.601879
2022-07-27,238932.01753
2022-07-28,228028.485549
2022-07-29,219521.333401
2022-07-30,193235.818184
2022-07-31,228148.614004
2022-08-01,308921.884041
2022-08-02,180920.544294
2022-08-03,187842.120125
2022-08-04,188355.90296
2022-08-05,189623.553652
2022-08-06,191632.540123
2022-08-07,180550.503503
2022-08-08,292396.666539
2022-08-09,203502.755346
2022-08-10,210961.826695
2022-08-11,207401.514374
2022-08-12,203336.781292
2022-08-13,160958.908459
2022-08-14,173765.763617
2022-08-15,274324.725241
2022-08-16,245631.519466
2022-08-17,250945.128006
2022-08-18,253460.050458
2022-08-19,244711.940858
2022-08-20,216941.036843
2022-08-21,201887.27814
2022-08-22,308127.791542
2022-08-23,184347.786436
2022-08-24,147023.517636
2022-08-25,19176
