,datenumber,datestr,Week,inflation,chime,varo,mobilebank
307,2022-05-21,2022-05-21,5/22/2022,48.0,7.428571428571429,1.4285714285714286,12.0
306,2022-05-20,2022-05-20,5/22/2022,48.0,7.428571428571429,1.4285714285714286,12.0
305,2022-05-19,2022-05-19,5/22/2022,48.0,7.428571428571429,1.4285714285714286,12.0
304,2022-05-18,2022-05-18,5/22/2022,48.0,7.428571428571429,1.4285714285714286,12.0
303,2022-05-17,2022-05-17,5/22/2022,48.0,7.428571428571429,1.4285714285714286,12.0
302,2022-05-16,2022-05-16,5/22/2022,48.0,7.428571428571429,1.4285714285714286,12.0
301,2022-05-15,2022-05-15,5/15/2022,60.0,7.0,1.4285714285714286,13.285714285714286
300,2022-05-14,2022-05-14,5/15/2022,60.0,7.0,1.4285714285714286,13.285714285714286
299,2022-05-13,2022-05-13,5/15/2022,60.0,7.0,1.4285714285714286,13.285714285714286
298,2022-05-12,2022-05-12,5/15/2022,60.0,7.0,1.4285714285714286,13.285714285714286
297,2022-05-11,2022-05-11,5/15/2022,60.0,7.0,1.4285714285714286,13.285714285714286
296,2022-05-10,2022-05-10,5/15/2022,60.0,7.0,1.4285714285714286,13.285714285714286
295,2022-05-09,2022-05-09,5/15/2022,60.0,7.0,1.4285714285714286,13.285714285714286
294,2022-05-08,2022-05-08,5/8/2022,89.0,6.714285714285714,1.4285714285714286,10.857142857142858
293,2022-05-07,2022-05-07,5/8/2022,89.0,6.714285714285714,1.4285714285714286,10.857142857142858
292,2022-05-06,2022-05-06,5/8/2022,89.0,6.714285714285714,1.4285714285714286,10.857142857142858
291,2022-05-05,2022-05-05,5/8/2022,89.0,6.714285714285714,1.4285714285714286,10.857142857142858
290,2022-05-04,2022-05-04,5/8/2022,89.0,6.714285714285714,1.4285714285714286,10.857142857142858
289,2022-05-03,2022-05-03,5/8/2022,89.0,6.714285714285714,1.4285714285714286,10.857142857142858
288,2022-05-02,2022-05-02,5/8/2022,89.0,6.714285714285714,1.4285714285714286,10.857142857142858
287,2022-05-01,2022-05-01,5/1/2022,64.0,6.857142857142857,1.2857142857142858,11.285714285714286
286,2022-04-30,2022-04-30,5/1/2022,64.0,6.857142857142857,1.2857142857142858,11.285714285714286
285,2022-04-29,2022-04-29,5/1/2022,64.0,6.857142857142857,1.2857142857142858,11.285714285714286
284,2022-04-28,2022-04-28,5/1/2022,64.0,6.857142857142857,1.2857142857142858,11.285714285714286
283,2022-04-27,2022-04-27,5/1/2022,64.0,6.857142857142857,1.2857142857142858,11.285714285714286
282,2022-04-26,2022-04-26,5/1/2022,64.0,6.857142857142857,1.2857142857142858,11.285714285714286
281,2022-04-25,2022-04-25,5/1/2022,64.0,6.857142857142857,1.2857142857142858,11.285714285714286
280,2022-04-24,2022-04-24,4/24/2022,54.0,6.571428571428571,1.4285714285714286,11.0
279,2022-04-23,2022-04-23,4/24/2022,54.0,6.571428571428571,1.4285714285714286,11.0
278,2022-04-22,2022-04-22,4/24/2022,54.0,6.571428571428571,1.4285714285714286,11.0
277,2022-04-21,2022-04-21,4/24/2022,54.0,6.571428571428571,1.4285714285714286,11.0
276,2022-04-20,2022-04-20,4/24/2022,54.0,6.571428571428571,1.4285714285714286,11.0
275,2022-04-19,2022-04-19,4/24/2022,54.0,6.571428571428571,1.4285714285714286,11.0
274,2022-04-18,2022-04-18,4/24/2022,54.0,6.571428571428571,1.4285714285714286,11.0
273,2022-04-17,2022-04-17,4/17/2022,58.0,6.571428571428571,1.4285714285714286,12.0
272,2022-04-16,2022-04-16,4/17/2022,58.0,6.571428571428571,1.4285714285714286,12.0
271,2022-04-15,2022-04-15,4/17/2022,58.0,6.571428571428571,1.4285714285714286,12.0
270,2022-04-14,2022-04-14,4/17/2022,58.0,6.571428571428571,1.4285714285714286,12.0
269,2022-04-13,2022-04-13,4/17/2022,58.0,6.571428571428571,1.4285714285714286,12.0
268,2022-04-12,2022-04-12,4/17/2022,58.0,6.571428571428571,1.4285714285714286,12.0
267,2022-04-11,2022-04-11,4/17/2022,58.0,6.571428571428571,1.4285714285714286,12.0
266,2022-04-10,2022-04-10,4/10/2022,82.0,7.0,1.4285714285714286,10.714285714285714
265,2022-04-09,2022-04-09,4/10/2022,82.0,7.0,1.4285714285714286,10.714285714285714
264,2022-04-08,2022-04-08,4/10/2022,82.0,7.0,1.4285714285714286,10.714285714285714
263,2022-04-07,2022-04-07,4/10/2022,82.0,7.0,1.4285714285714286,10.714285714285714
262,2022-04-06,2022-04-06,4/10/2022,82.0,7.0,1.4285714285714286,10.714285714285714
261,2022-04-05,2022-04-05,4/10/2022,82.0,7.0,1.4285714285714286,10.714285714285714
260,2022-04-04,2022-04-04,4/10/2022,82.0,7.0,1.4285714285714286,10.714285714285714
259,2022-04-03,2022-04-03,4/3/2022,53.0,6.714285714285714,1.4285714285714286,12.571428571428571
258,2022-04-02,2022-04-02,4/3/2022,53.0,6.714285714285714,1.4285714285714286,12.571428571428571
257,2022-04-01,2022-04-01,4/3/2022,53.0,6.714285714285714,1.4285714285714286,12.571428571428571
256,2022-03-31,2022-03-31,4/3/2022,53.0,6.714285714285714,1.4285714285714286,12.571428571428571
255,2022-03-30,2022-03-30,4/3/2022,53.0,6.714285714285714,1.4285714285714286,12.571428571428571
254,2022-03-29,2022-03-29,4/3/2022,53.0,6.714285714285714,1.4285714285714286,12.571428571428571
253,2022-03-28,2022-03-28,4/3/2022,53.0,6.714285714285714,1.4285714285714286,12.571428571428571
252,2022-03-27,2022-03-27,3/27/2022,51.0,7.0,1.2857142857142858,11.142857142857142
251,2022-03-26,2022-03-26,3/27/2022,51.0,7.0,1.2857142857142858,11.142857142857142
250,2022-03-25,2022-03-25,3/27/2022,51.0,7.0,1.2857142857142858,11.142857142857142
249,2022-03-24,2022-03-24,3/27/2022,51.0,7.0,1.2857142857142858,11.142857142857142
248,2022-03-23,2022-03-23,3/27/2022,51.0,7.0,1.2857142857142858,11.142857142857142
247,2022-03-22,2022-03-22,3/27/2022,51.0,7.0,1.2857142857142858,11.142857142857142
246,2022-03-21,2022-03-21,3/27/2022,51.0,7.0,1.2857142857142858,11.142857142857142
245,2022-03-20,2022-03-20,3/20/2022,48.0,7.428571428571429,1.5714285714285714,11.0
244,2022-03-19,2022-03-19,3/20/2022,48.0,7.428571428571429,1.5714285714285714,11.0
243,2022-03-18,2022-03-18,3/20/2022,48.0,7.428571428571429,1.5714285714285714,11.0
242,2022-03-17,2022-03-17,3/20/2022,48.0,7.428571428571429,1.5714285714285714,11.0
241,2022-03-16,2022-03-16,3/20/2022,48.0,7.428571428571429,1.5714285714285714,11.0
240,2022-03-15,2022-03-15,3/20/2022,48.0,7.428571428571429,1.5714285714285714,11.0
239,2022-03-14,2022-03-14,3/20/2022,48.0,7.428571428571429,1.5714285714285714,11.0
238,2022-03-13,2022-03-13,3/13/2022,57.0,8.285714285714286,1.2857142857142858,12.0
237,2022-03-12,2022-03-12,3/13/2022,57.0,8.285714285714286,1.2857142857142858,12.0
236,2022-03-11,2022-03-11,3/13/2022,57.0,8.285714285714286,1.2857142857142858,12.0
