solID,rn,coef,xDecompAgg,xDecompPerc,xDecompMeanNon0,xDecompMeanNon0Perc,xDecompAggRF,xDecompPercRF,xDecompMeanNon0RF,xDecompMeanNon0PercRF,pos,spend_share_refresh,effect_share_refresh,mape,nrmse,decomp.rssd,rsq_train,lambda,lambda_hp,lambda_max,iterPar,iterNG,df.int,trial,iterations,robynPareto,total_spend,mean_spend,spend_share,effect_share,roi_mean,roi_total,cpa_total,mean_response,next_unit_response
1_169_10,UN,0,0,0,0,0,0,0,0,0,TRUE,0.039062327528312,0,0,0.0750478229098603,0.230392813330793,0.767580015073385,12.8142376841191,0.000321678495943815,30390.9623547242,10,169,1,1,1690,1,1935674.458019,29779.6070464462,0.039062327528312,0,0,0,Inf,0,0
1_169_10,holiday,0.631163761739796,-567.177465583796,-0.000715487237637481,-43.6290358141382,-0.0079724336017963,-567.177465583796,-0.000715487237637481,-43.6290358141382,-0.0079724336017963,FALSE,,,0,0.0750478229098603,0.230392813330793,0.767580015073385,12.8142376841191,0.000321678495943815,30390.9623547242,10,169,1,1,1690,1,,,,,,,,,
1_169_10,season,0.812737150876977,-15291.7390282259,-0.0192903364112271,-37.850839178777,-0.00691657050159431,-15291.7390282259,-0.0192903364112271,-37.850839178777,-0.00691657050159431,FALSE,,,0,0.0750478229098603,0.230392813330793,0.767580015073385,12.8142376841191,0.000321678495943815,30390.9623547242,10,169,1,1,1690,1,,,,,,,,,
1_169_10,trend,-1.76013759909538,-1430014.58662284,-1.8039454111791,0,0,-1430014.58662284,-1.8039454111791,0,0,FALSE,,,0,0.0750478229098603,0.230392813330793,0.767580015073385,12.8142376841191,0.000321678495943815,30390.9623547242,10,169,1,1,1690,1,,,,,,,,,
1_169_10,weekday,1.07278406500677,-17.2770161497648,-2.17947385248984e-05,-0.0427648914598135,-7.81452652549579e-06,-17.2770161497648,-2.17947385248984e-05,-0.0427648914598135,-7.81452652549579e-06,FALSE,,,0,0.0750478229098603,0.230392813330793,0.767580015073385,12.8142376841191,0.000321678495943815,30390.9623547242,10,169,1,1,1690,1,,,,,,,,,
1_189_10,(Intercept),3438.25818340651,1389056.30609623,1.75227705555745,3438.25818340651,0.811098637884915,1389056.30609623,1.75227705555745,3438.25818340651,0.811098637884915,TRUE,,,0,0.0769172394974141,0.206805598867051,0.755856789622,6.61012321613376,0.000117514676810426,30390.9623547242,10,189,1,1,1890,1,,,,,,,,,
1_189_10,AA,494.050134388937,123935.241391608,0.15634274788746,306.770399484179,0.0723683446362091,123935.241391608,0.15634274788746,306.770399484179,0.0723683446362091,TRUE,0.327110329633627,0.351674961851886,0,0.0769172394974141,0.206805598867051,0.755856789622,6.61012321613376,0.000117514676810426,30390.9623547242,10,189,1,1,1890,1,16209456.785878,40122.4177868267,0.327110329633627,0.351674961851886,0.00703715185887451,0.00764586025483489,130.789730216119,282.347546911108,0.00346204188974752
1_189_10,AI,416.646196181427,27535.6969740256,0.0347359353286182,68.1576657772911,0.0160786616142375,27535.6969740256,0.0347359353286182,68.1576657772911,0.0160786616142375,TRUE,0.0578482974204138,0.0781344763133792,0,0.0769172394974141,0.206805598867051,0.755856789622,6.61012321613376,0.000117514676810426,30390.9623547242,10,189,1,1,1890,1,2866584.733729,7095.50676665594,0.0578482974204138,0.0781344763133792,0.00423819529816828,0.0096057502330328,104.104309995605,30.0721434165624,0.00903200922467207
1_189_10,AS,542.79764610391,50952.0058149006,0.0642753143499246,126.118826274506,0.0297519275011355,50952.0058149006,0.0642753143499246,126.118826274506,0.0297519275011355,TRUE,0.0932303719705267,0.1445798991476,0,0.0769172394974141,0.206805598867051,0.755856789622,6.61012321613376,0.000117514676810426,30390.9623547242,10,189,1,1,1890,1,4619889.8313,11435.3708695545,0.0932303719705267,0.1445798991476,0.00637795341949516,0.0110288356812533,90.6714025760483,72.9342627406702,0.0158823534437431
1_189_10,BA,0,0,0,0,0,0,0,0,0,TRUE,0.0102136071931573,0,0,0.0769172394974141,0.206805598867051,0.755856789622,6.61012321613376,0.000117514676810426,30390.9623547242,10,189,1,1,1890,1,506119.83,1353.26157754011,0.0102136071931573,0,0,0,Inf,0,0
